"ID","ID_1","EMAIL_HASH","C","VALUE","CASE_STATUS"
3175520,4189654,"2uX9wSUkDivlStLgBM9vPg==",3,"Open","Updated"
3175520,4189806,"2uX9wSUkDivlStLgBM9vPg==",3,"Open","Updated"
3201112,4192791,"2w1IOuPk9yRQSC89CNBXzQ==",3,"Closed","Updated"
3201112,4192795,"2w1IOuPk9yRQSC89CNBXzQ==",3,"Closed","Updated"
3201112,4192796,"2w1IOuPk9yRQSC89CNBXzQ==",3,"Closed","Updated"
3196150,4189234,"2zWGXIuHbttjKDLqKG+O1g==",2,"Closed","Updated"
3196150,4190231,"2zWGXIuHbttjKDLqKG+O1g==",2,"Closed","Updated"
3170936,4187608,"3BXLFcYblUGtBsxoJUK9/g==",6,"Closed","Updated"
3170936,4187634,"3BXLFcYblUGtBsxoJUK9/g==",6,"Closed","Updated"
3170936,4187663,"3BXLFcYblUGtBsxoJUK9/g==",6,"Closed","Updated"
3170936,4187686,"3BXLFcYblUGtBsxoJUK9/g==",6,"Closed","Updated"
3170936,4187713,"3BXLFcYblUGtBsxoJUK9/g==",6,"Closed","Updated"
3170936,4187746,"3BXLFcYblUGtBsxoJUK9/g==",6,"Closed","Updated"
3152858,4190902,"3CZKSLRBeoirVunfuMoKRA==",2,"Open","Updated"
3152858,4190938,"3CZKSLRBeoirVunfuMoKRA==",2,"Open","Updated"
3186877,4191493,"3EO4+6OcJKCI2DfIn8xiYg==",2,"Open","Updated"
3186877,4191723,"3EO4+6OcJKCI2DfIn8xiYg==",2,"Open","Updated"
3170007,4189612,"4BKW29qQtMImcuopRUYDuw==",5,"Closed","Updated"
3170007,4189642,"4BKW29qQtMImcuopRUYDuw==",5,"Closed","Updated"
3170007,4189726,"4BKW29qQtMImcuopRUYDuw==",5,"Closed","Updated"
3170007,4189744,"4BKW29qQtMImcuopRUYDuw==",5,"Closed","Updated"
3170007,4189810,"4BKW29qQtMImcuopRUYDuw==",5,"Closed","Updated"
3196150,4186953,"4F7Ll4+xKtNu/2LsE9V67Q==",2,"Closed","Updated"
3196150,4186970,"4F7Ll4+xKtNu/2LsE9V67Q==",2,"Closed","Updated"
3194286,4190620,"4dSQ2aCoG6KRLdeoOg83qg==",2,"Open","Updated"
3194286,4191210,"4dSQ2aCoG6KRLdeoOg83qg==",2,"Open","Updated"
3188304,4190631,"4nm5xHMnQy7IHXLonQ6cUQ==",6,"Open","Updated"
3188304,4190652,"4nm5xHMnQy7IHXLonQ6cUQ==",6,"Open","Updated"
3188304,4190735,"4nm5xHMnQy7IHXLonQ6cUQ==",6,"Open","Updated"
3188304,4190773,"4nm5xHMnQy7IHXLonQ6cUQ==",6,"Open","Updated"
3188304,4190783,"4nm5xHMnQy7IHXLonQ6cUQ==",6,"Open","Updated"
3188304,4190929,"4nm5xHMnQy7IHXLonQ6cUQ==",6,"Open","Updated"
3199075,4190417,"4zZHRhjjIUJ+4IwvTMsBiw==",2,"Closed","Updated"
3199075,4190430,"4zZHRhjjIUJ+4IwvTMsBiw==",2,"Closed","Updated"
3166820,4189430,"5+UT5/0y1XT+cGD/tGIJTA==",2,"Open","Updated"
3166820,4189572,"5+UT5/0y1XT+cGD/tGIJTA==",2,"Open","Updated"
3187881,4189087,"5Y13kHSSd9TL09oMVB19iA==",3,"Closed","Updated"
3187881,4189096,"5Y13kHSSd9TL09oMVB19iA==",3,"Closed","Updated"
3187881,4189112,"5Y13kHSSd9TL09oMVB19iA==",3,"Closed","Updated"
